"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
106,19,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_COUNT",1624829.000000,1970371690654641,1970371690746129
106,19,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_GUI_ACTIVE",1624829.000000,1970371690654641,1970371690746129
106,19,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"SQ_WAVES",3072.000000,1970371690654641,1970371690746129
111,20,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_COUNT",1641825.000000,1970371690799771,1970371690891900
111,20,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_GUI_ACTIVE",1641825.000000,1970371690799771,1970371690891900
111,20,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"SQ_WAVES",3072.000000,1970371690799771,1970371690891900
116,21,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_COUNT",1643731.000000,1970371690948869,1970371691040357
116,21,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_GUI_ACTIVE",1643731.000000,1970371690948869,1970371691040357
116,21,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"SQ_WAVES",3072.000000,1970371690948869,1970371691040357
121,22,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_COUNT",1630115.000000,1970371691094038,1970371691186007
121,22,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_GUI_ACTIVE",1630115.000000,1970371691094038,1970371691186007
121,22,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"SQ_WAVES",3072.000000,1970371691094038,1970371691186007
126,23,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_COUNT",1647775.000000,1970371691238246,1970371691330856
126,23,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_GUI_ACTIVE",1647775.000000,1970371691238246,1970371691330856
126,23,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"SQ_WAVES",3072.000000,1970371691238246,1970371691330856
131,24,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_COUNT",1645273.000000,1970371691388507,1970371691480436
131,24,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_GUI_ACTIVE",1645273.000000,1970371691388507,1970371691480436
131,24,2,1,1341235,1341235,196608,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"SQ_WAVES",3072.000000,1970371691388507,1970371691480436
150,25,2,1,1341235,1341235,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"GRBM_COUNT",203199.000000,1970372590977847,1970372590980974
150,25,2,1,1341235,1341235,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"GRBM_GUI_ACTIVE",203199.000000,1970372590977847,1970372590980974
150,25,2,1,1341235,1341235,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES",8.000000,1970372590977847,1970372590980974
153,26,2,1,1341235,1341235,40960,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_COUNT",7013377.000000,1970372591042033,1970372591452645
153,26,2,1,1341235,1341235,40960,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_GUI_ACTIVE",7013377.000000,1970372591042033,1970372591452645
