"Kind","Agent_Id","Queue_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","Private_Segment_Size","Group_Segment_Size","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH",2,1,1341235,40,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",231,1970372759037686,1970372759090526,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,41,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",236,1970372759144408,1970372759196967,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,42,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",241,1970372759252253,1970372759304371,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,43,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",246,1970372759358534,1970372759413058,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,44,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",251,1970372759467181,1970372759520021,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,45,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",256,1970372759581360,1970372759633719,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,46,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",261,1970372759690407,1970372759743528,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,47,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",266,1970372759796568,1970372759848486,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,48,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",271,1970372759901166,1970372759953244,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,49,5,"__amd_rocclr_copyBuffer",290,1970374070795816,1970374070798783,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,1,1341235,50,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",293,1970374070861966,1970374071109368,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,51,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",296,1970374071166698,1970374071393974,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,52,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",301,1970374071452266,1970374071680184,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,53,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",306,1970374071735389,1970374071961943,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,54,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",311,1970374072019835,1970374072247872,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,55,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",316,1970374072302236,1970374072530995,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,56,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",321,1970374072586722,1970374072814278,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,57,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",326,1970374072869002,1970374073096238,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,58,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",331,1970374073151844,1970374073380083,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,59,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",336,1970374073437693,1970374073664368,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,60,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",341,1970374073719453,1970374073947170,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,61,5,"__amd_rocclr_copyBuffer",360,1970377243855174,1970377243857740,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,1,1341235,62,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",363,1970377243938083,1970377244364571,24,35332,1024,1,1,8192,36,1
"KERNEL_DISPATCH",2,1,1341235,63,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",366,1970377244424507,1970377244793705,24,35332,1024,1,1,8192,36,1
"KERNEL_DISPATCH",2,1,1341235,64,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",371,1970377244853521,1970377245223080,24,35332,1024,1,1,8192,36,1
"KERNEL_DISPATCH",2,1,1341235,65,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",376,1970377245280971,1970377245649728,24,35332,1024,1,1,8192,36,1
"KERNEL_DISPATCH",2,1,1341235,66,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",381,1970377245705455,1970377246073651,24,35332,1024,1,1,8192,36,1
"KERNEL_DISPATCH",2,1,1341235,67,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",386,1970377246130420,1970377246540631,24,35332,1024,1,1,8192,36,1
"KERNEL_DISPATCH",2,1,1341235,68,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",391,1970377246595756,1970377246956214,24,35332,1024,1,1,8192,36,1
